genre,director,budget,gross,runtime,rating
Comedy,Hal Ashby,17000000.0,946461.0,105.0,R
Western,Fred Schepisi,11000000.0,1736123.0,90.0,PG
Action,James Glickenhaus,4000000.0,6328816.0,96.0,R
Comedy,Richard Brooks,10000000.0,3583513.0,117.0,R
Sci-Fi,Jerry Belson,5000000.0,3792188.0,87.0,R
Action,James Fargo,5000000.0,6660333.0,90.0,R
Drama,Delbert Mann,10000000.0,8000000.0,107.0,PG
Action,Thomas K. Avildsen,7000000.0,21134374.0,90.0,R
Comedy,Don Siegel,13400000.0,2869638.0,103.0,R
Drama,Fred Zinnemann,15000000.0,199078.0,108.0,PG
Comedy,James Burrows,6000000.0,6062898.0,93.0,R
Comedy,Franklin J. Schaffner,19000000.0,2279543.0,110.0,PG
Crime,Brian De Palma,25000000.0,65884703.0,170.0,R
Crime,Francis Ford Coppola,10000000.0,25697647.0,91.0,PG
Action,Richard Marquand,32500000.0,475106177.0,131.0,PG
Comedy,Paul Brickman,6200000.0,63541777.0,99.0,R
Adventure,Harold Ramis,15000000.0,61399552.0,98.0,R
Comedy,John Landis,15000000.0,90404800.0,116.0,R
Action,Richard Lester,39000000.0,59950623.0,125.0,PG
Comedy,Lawrence Kasdan,8000000.0,56399659.0,105.0,R
Drama,Sylvester Stallone,22000000.0,64892670.0,93.0,PG
Adventure,Joe Alves,20500000.0,87987055.0,99.0,PG
Horror,John Carpenter,9700000.0,21017849.0,110.0,R
Drama,Adrian Lyne,4000000.0,92921203.0,95.0,R
Action,John Badham,12000000.0,79567667.0,114.0,PG
Adventure,Philip Kaufman,27000000.0,21192315.0,193.0,PG
Action,Peter Yates,47000000.0,16916617.0,121.0,PG
Drama,David Cronenberg,10000000.0,20766616.0,103.0,R
Action,John Glen,27500000.0,67893619.0,131.0,PG
Comedy,Noel Black,3500000.0,14049540.0,89.0,R
Comedy,Martha Coolidge,350000.0,17343596.0,99.0,R
Crime,Francis Ford Coppola,10000000.0,2494480.0,94.0,R
Horror,David Cronenberg,5952000.0,2120439.0,87.0,R
Comedy,James L. Brooks,8000000.0,108423749.0,132.0,PG
Horror,Directors,10000000.0,29450919.0,101.0,PG
Action,Irvin Kershner,36000000.0,55432841.0,134.0,PG
Comedy,Bob Clark,3300000.0,20653717.0,93.0,PG
Horror,Lewis Teague,5000000.0,21156152.0,93.0,R
Action,Clint Eastwood,22000000.0,67642693.0,117.0,R
Action,John Badham,22000000.0,42313354.0,109.0,R
Action,Jim McBride,7500000.0,19910002.0,100.0,R
Crime,Richard Franklin,5000000.0,34725000.0,113.0,R
Biography,Mike Nichols,10000000.0,35615609.0,131.0,R
Drama,Michael Chapman,5600000.0,17233166.0,91.0,R
Drama,Michael Mann,11000000.0,4218594.0,96.0,R
Drama,Barbra Streisand,12000000.0,40218899.0,133.0,PG
Animation,Ralph Bakshi,1200000.0,760883.0,81.0,PG
Action,Mel Damski,6500000.0,4300000.0,96.0,PG
Comedy,Terry Jones,9000000.0,14949697.0,107.0,R
Action,James Sbardellati,457000.0,11919250.0,80.0,R
Comedy,Bob Clark,6500000.0,33759266.0,98.0,R
